name,x_Cr_,x_Nb_,phase
run1,0.393561,0.131615,L
run2,0.362314,0.115474,D
run3,0.387261,0.128419,L
run4,0.369416,0.120918,L
run5,0.36486,0.11349,D
run6,0.417891,0.100489,L
run7,0.372228,0.114793,D
run8,0.363123,0.114916,D
run9,0.370538,0.105232,D
run10,0.414909,0.0850922,L
run11,0.423894,0.0808296,L
run12,0.405773,0.0733676,D
run13,0.384655,0.083457,D
run14,0.423488,0.0729741,D
run15,0.406674,0.0748364,D
run16,0.388524,0.0966293,D
run17,0.397121,0.132853,L
run18,0.374595,0.132234,L
run19,0.379893,0.0919907,D
run20,0.408999,0.0708344,D
run21,0.383939,0.123192,L
run22,0.409806,0.112549,L
run23,0.439054,0.0879372,L
run24,0.430757,0.103428,L
run25,0.376552,0.138806,L
run26,0.380437,0.117274,L
run27,0.416014,0.071352,D
run28,0.427603,0.0908405,L
run29,0.392024,0.105361,L
run30,0.409222,0.0678085,D
run31,0.388188,0.142738,L
run32,0.417471,0.115559,L
run33,0.40362,0.116418,L
run34,0.384231,0.141733,L
run35,0.418644,0.0679306,D
run36,0.360941,0.126921,L
run37,0.408119,0.0699716,D
run38,0.399988,0.0901667,D
run39,0.388966,0.125985,L
run40,0.362515,0.112249,D
run41,0.360578,0.121257,D
run42,0.358115,0.112823,D
run43,0.389806,0.127798,L
run44,0.384088,0.138102,L
run45,0.39222,0.136607,L
run46,0.398023,0.0876394,D
run47,0.40382,0.0889303,D
run48,0.417437,0.0785456,D
run49,0.417612,0.0825744,L
run50,0.40766,0.0940387,L
run51,0.401557,0.0871212,D
run52,0.373502,0.122161,L
run53,0.397219,0.144308,L
run54,0.407498,0.120722,L
run55,0.379746,0.131638,L
run56,0.384522,0.12591,L
run57,0.392934,0.0998622,D
run58,0.41639,0.125364,L
run59,0.35939,0.122392,D
run60,0.412904,0.0759642,D
run61,0.404151,0.0965674,L
run62,0.381374,0.138862,L
run63,0.387539,0.134264,L
run64,0.422133,0.0865234,L
run65,0.316369,0.151035,D
run66,0.463207,0.0560536,L
run67,0.345835,0.14483,L
run68,0.331743,0.159106,L
run69,0.320683,0.1501,D
run70,0.454321,0.0515581,D
run71,0.442529,0.0694913,L
run72,0.381968,0.0984375,D
run73,0.31547,0.147092,D
run74,0.418112,0.0725215,D
run75,0.47012,0.0365061,D
run76,0.416919,0.0708252,D
run77,0.372726,0.127035,L
run78,0.326379,0.143836,D
run79,0.43449,0.0826087,L
run80,0.428498,0.0602707,D
run81,0.327992,0.162142,L
run82,0.365911,0.107369,D
run83,0.415481,0.0740079,D
run84,0.375358,0.103858,D
run85,0.346268,0.14202,L
run86,0.36935,0.122659,L
run87,0.374589,0.124923,L
run88,0.353722,0.127499,D
run89,0.356784,0.136299,L
run90,0.345257,0.140036,L
run91,0.337057,0.143348,L
run92,0.428269,0.0628627,D
run93,0.337229,0.144437,D
run94,0.390769,0.103129,L
